               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  57,            0.019408,           0.0089968,          0.00018862,                   1,               0.995,               0.995,              0.8047,            0.012012,           0.0040152,          0.00013751,           0.0046568,           0.0046568,           0.0046568
                  58,            0.019953,           0.0096591,          0.00019403,                   1,               0.995,               0.995,             0.81558,            0.011046,            0.003968,          0.00015167,           0.0045184,           0.0045184,           0.0045184
                  59,              0.0172,           0.0086163,          0.00018768,             0.99999,               0.995,               0.995,             0.81195,            0.011006,           0.0040215,          0.00016001,           0.0043809,           0.0043809,           0.0043809
                  60,              0.0192,           0.0091183,          0.00021917,                   1,                   1,               0.995,             0.81846,             0.01073,            0.003964,          0.00017145,           0.0042445,           0.0042445,           0.0042445
                  61,             0.01842,           0.0089714,           0.0002089,                   1,               0.995,               0.995,             0.82747,            0.010409,           0.0039519,          0.00017885,           0.0041094,           0.0041094,           0.0041094
                  62,            0.018893,           0.0094363,          0.00023092,             0.99999,               0.995,               0.995,             0.82811,              0.0111,           0.0038599,          0.00018906,           0.0039757,           0.0039757,           0.0039757
                  63,            0.017204,           0.0083086,          0.00024519,                   1,               0.995,               0.995,             0.83149,            0.010894,           0.0037987,          0.00019413,           0.0038434,           0.0038434,           0.0038434
                  64,            0.017383,           0.0089946,          0.00021782,             0.99999,               0.995,               0.995,             0.83302,            0.010779,           0.0037854,          0.00019543,           0.0037128,           0.0037128,           0.0037128
                  65,            0.016942,           0.0094124,          0.00020814,               0.995,               0.995,             0.99495,             0.84151,           0.0099204,            0.003797,          0.00018876,            0.003584,            0.003584,            0.003584
                  66,            0.015596,            0.007995,          0.00019661,             0.99999,               0.995,               0.995,             0.84889,           0.0098532,           0.0037619,          0.00016857,            0.003457,            0.003457,            0.003457
                  67,            0.016717,           0.0085468,          0.00019503,                   1,               0.995,               0.995,             0.85462,           0.0097075,           0.0037204,          0.00015394,           0.0033321,           0.0033321,           0.0033321
                  68,            0.015943,           0.0080583,          0.00020177,                   1,             0.99499,               0.995,              0.8429,            0.010295,           0.0037138,          0.00014015,           0.0032093,           0.0032093,           0.0032093
                  69,            0.015917,           0.0083255,          0.00015841,             0.99999,               0.995,               0.995,             0.85474,           0.0095278,           0.0035671,          0.00013083,           0.0030888,           0.0030888,           0.0030888
                  70,            0.016935,           0.0088011,          0.00016997,                   1,             0.99499,               0.995,             0.85895,            0.009297,           0.0035487,           0.0001191,           0.0029706,           0.0029706,           0.0029706
                  71,            0.015622,           0.0087607,          0.00014642,                   1,               0.995,               0.995,             0.86949,             0.00909,           0.0035262,           0.0001116,            0.002855,            0.002855,            0.002855
                  72,            0.015343,           0.0087245,          0.00013643,                   1,             0.99499,               0.995,             0.87151,           0.0094253,           0.0034859,          0.00010445,           0.0027419,           0.0027419,           0.0027419
                  73,            0.016585,           0.0083686,          0.00014546,             0.99999,               0.995,               0.995,             0.86986,            0.009095,           0.0034773,          9.9283e-05,           0.0026316,           0.0026316,           0.0026316
                  74,            0.015855,           0.0083364,          0.00013618,                   1,               0.995,               0.995,             0.87003,           0.0092688,           0.0034761,          9.7507e-05,           0.0025241,           0.0025241,           0.0025241
                  75,             0.01657,           0.0083442,          0.00013575,                   1,               0.995,               0.995,             0.87069,           0.0091821,           0.0034901,          9.4087e-05,           0.0024195,           0.0024195,           0.0024195
                  76,            0.016825,           0.0088733,          0.00013575,                   1,             0.99499,               0.995,             0.87096,           0.0091376,            0.003483,          8.9117e-05,            0.002318,            0.002318,            0.002318
                  77,            0.016368,           0.0081074,          0.00012051,             0.99999,               0.995,               0.995,              0.8739,           0.0089663,           0.0034638,          8.6713e-05,           0.0022196,           0.0022196,           0.0022196
                  78,            0.016129,           0.0086926,          0.00011943,                   1,               0.995,               0.995,             0.87498,           0.0088754,           0.0034267,          8.4226e-05,           0.0021245,           0.0021245,           0.0021245
                  79,            0.014087,           0.0083317,          0.00010154,             0.99999,               0.995,               0.995,             0.88031,            0.008669,           0.0033783,          8.0828e-05,           0.0020327,           0.0020327,           0.0020327
                  80,            0.014836,           0.0077824,          0.00010445,                   1,               0.995,               0.995,             0.88221,           0.0087841,           0.0033784,          7.8024e-05,           0.0019443,           0.0019443,           0.0019443
                  81,            0.016873,           0.0089127,          0.00012197,                   1,               0.995,               0.995,             0.87803,           0.0086882,           0.0033779,          7.6991e-05,           0.0018594,           0.0018594,           0.0018594
                  82,            0.015464,           0.0081061,          0.00010232,                   1,               0.995,               0.995,             0.87326,           0.0086517,           0.0033612,          7.7395e-05,           0.0017781,           0.0017781,           0.0017781
                  83,            0.015333,           0.0081588,          9.5141e-05,             0.99999,               0.995,               0.995,              0.8721,           0.0089765,           0.0033801,          7.2043e-05,           0.0017005,           0.0017005,           0.0017005
                  84,            0.015456,           0.0079908,           0.0001036,             0.99999,               0.995,               0.995,              0.8721,           0.0093655,           0.0033543,           6.956e-05,           0.0016267,           0.0016267,           0.0016267
                  85,            0.015755,           0.0079833,          0.00010067,                   1,               0.995,               0.995,              0.8834,           0.0084735,           0.0033015,          6.7556e-05,           0.0015566,           0.0015566,           0.0015566
                  86,            0.014628,            0.008328,          0.00010922,                   1,               0.995,               0.995,             0.88782,           0.0083567,           0.0032951,          6.6896e-05,           0.0014905,           0.0014905,           0.0014905
                  87,            0.014359,           0.0078294,          8.6088e-05,                   1,             0.99499,               0.995,             0.88395,            0.008492,           0.0033258,          6.4598e-05,           0.0014283,           0.0014283,           0.0014283
                  88,            0.015243,           0.0081434,          0.00010202,                   1,             0.99499,               0.995,             0.89658,           0.0081682,            0.003204,          6.3544e-05,           0.0013701,           0.0013701,           0.0013701
                  89,              0.0153,           0.0084824,          0.00010639,                   1,               0.995,               0.995,             0.89566,           0.0081077,           0.0031957,          6.3414e-05,            0.001316,            0.001316,            0.001316
                  90,             0.01688,           0.0086835,          9.7517e-05,             0.99999,               0.995,               0.995,             0.88924,           0.0083038,           0.0031938,          6.1423e-05,            0.001266,            0.001266,            0.001266
                  91,            0.014856,           0.0080461,          9.9372e-05,                   1,             0.99499,               0.995,              0.8987,           0.0079637,           0.0031524,          6.0633e-05,           0.0012202,           0.0012202,           0.0012202
                  92,            0.015429,           0.0083068,          0.00011223,                   1,               0.995,               0.995,             0.89653,           0.0078794,           0.0030679,          5.9065e-05,           0.0011787,           0.0011787,           0.0011787
                  93,            0.014128,           0.0078786,          8.7814e-05,                   1,               0.995,               0.995,             0.89413,           0.0079683,           0.0030602,          6.0595e-05,           0.0011414,           0.0011414,           0.0011414
                  94,             0.01482,           0.0079449,          9.8226e-05,                   1,               0.995,               0.995,             0.89453,           0.0079034,           0.0030601,          6.1365e-05,           0.0011084,           0.0011084,           0.0011084
                  95,            0.013586,           0.0078253,          9.1056e-05,                   1,               0.995,               0.995,             0.88778,           0.0080584,           0.0030819,          6.0138e-05,           0.0010797,           0.0010797,           0.0010797
                  96,            0.014112,           0.0077568,          8.1495e-05,                   1,               0.995,               0.995,             0.89588,           0.0078888,            0.003071,          5.8769e-05,           0.0010554,           0.0010554,           0.0010554
                  97,            0.014626,           0.0070229,          9.1222e-05,                   1,               0.995,               0.995,             0.89271,           0.0078309,           0.0030402,          5.9407e-05,           0.0010355,           0.0010355,           0.0010355
                  98,            0.014365,           0.0074184,          8.5868e-05,                   1,               0.995,               0.995,             0.89638,           0.0077759,           0.0030356,           5.821e-05,             0.00102,             0.00102,             0.00102
                  99,            0.014635,           0.0081201,          9.4594e-05,                   1,             0.99499,               0.995,             0.90547,           0.0075909,           0.0030048,          5.6852e-05,           0.0010089,           0.0010089,           0.0010089
